1st_flr_sf,3ssn_porch,bsmt_exposure,bsmt_full_bath,bsmt_qual,bsmtfin_type_1,enclosed_porch,exter_qual,exterior_1st,exterior_2nd,fireplace_qu,fireplaces,foundation,full_bath,garage_area,garage_finish,garage_type,garage_yr_blt,gr_liv_area,half_bath,heating_qc,house_style,id,kitchen_qual,lot_area,lot_config,lot_frontage,lot_shape,mas_vnr_area,mas_vnr_type,ms_subclass,ms_zoning,neighborhood,open_porch_sf,overall_qual,pool_area,roof_style,saleprice,screen_porch,total_bsmt_sf,wood_deck_sf,year_built,year_remod/add,yr_sold
483,0,No,0.0,TA,ALQ,0,TA,HdBoard,HdBoard,None,0,CBlock,1,264.0,Unf,Detchd,1971.0,987,1,TA,2Story,1044,TA,1680,Inside,21.0,Reg,232.0,BrkFace,160,RM,BrDale,0,6,0,Gable,85400,0,483.0,0,1971,1971,2008
1208,0,Av,0.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,None,0,PConc,2,632.0,RFn,Attchd,2005.0,1208,0,Ex,1Story,2752,Gd,7488,Inside,64.0,IR1,0.0,None,20,RL,CollgCr,58,7,0,Gable,183600,0,1208.0,105,2005,2005,2006
1288,0,None,0.0,None,None,0,Gd,HdBoard,HdBoard,TA,1,PConc,1,576.0,Unf,Attchd,1900.0,2016,0,Ex,2Story,807,TA,26400,FR2,120.0,Reg,0.0,None,70,RL,SawyerW,0,5,0,Gable,131000,0,0.0,0,1880,2007,2009
962,0,No,1.0,Gd,GLQ,0,Gd,MetalSd,MetalSd,None,0,PConc,2,480.0,Unf,Detchd,2000.0,1607,1,Ex,2Story,1177,Gd,2645,Inside,24.0,Reg,456.0,BrkFace,160,FV,Somerst,0,8,0,Gable,200000,0,960.0,169,1999,2000,2008
1361,0,Av,0.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,None,0,PConc,2,610.0,RFn,Attchd,2007.0,1361,0,Ex,1Story,1480,Gd,9627,Inside,74.0,Reg,0.0,None,20,RL,CollgCr,50,7,0,Gable,193000,0,1351.0,0,2007,2007,2008
1430,0,Av,0.0,Ex,Unf,0,TA,VinylSd,VinylSd,None,0,PConc,2,624.0,RFn,Attchd,2004.0,1430,0,Ex,1Story,324,Gd,10114,Inside,93.0,Reg,0.0,None,20,RL,Mitchel,0,5,0,Gable,173500,0,1430.0,0,2004,2005,2010
624,0,No,0.0,TA,Unf,96,TA,AsbShng,AsbShng,None,0,BrkTil,1,513.0,Unf,Detchd,1916.0,1344,0,Fa,2Story,1311,TA,4571,Inside,34.0,Reg,0.0,None,70,RM,OldTown,0,5,0,Gable,98000,0,624.0,0,1916,1950,2008
1121,0,No,1.0,TA,Rec,0,TA,VinylSd,VinylSd,None,0,PConc,1,480.0,Unf,Detchd,1963.0,1121,0,TA,1Story,770,TA,8816,Corner,80.0,Reg,0.0,None,20,RL,Sawyer,80,5,0,Gable,139000,0,1121.0,0,1963,1963,2009
1285,0,No,0.0,TA,Unf,0,TA,Plywood,Plywood,TA,1,CBlock,1,528.0,RFn,Attchd,1977.0,1285,1,Ex,1Story,2063,TA,8197,Inside,71.0,Reg,148.0,BrkFace,20,RL,Sawyer,0,6,0,Gable,143500,0,660.0,138,1977,1977,2007
764,0,Mn,0.0,Gd,GLQ,0,TA,VinylSd,VinylSd,None,0,PConc,2,614.0,Unf,Attchd,2009.0,1547,1,Ex,2Story,69,Gd,8640,Inside,72.0,Reg,0.0,None,60,FV,Somerst,45,7,0,Gable,215200,0,756.0,169,2009,2009,2010
894,0,No,0.0,Gd,BLQ,0,TA,VinylSd,VinylSd,Po,1,CBlock,1,450.0,Fin,Attchd,1968.0,894,0,Gd,1Story,2062,TA,8724,Inside,109.0,Reg,0.0,None,20,RL,Sawyer,0,5,0,Gable,129000,0,894.0,0,1968,1968,2007
1659,0,No,1.0,Gd,GLQ,0,Gd,CemntBd,CmentBd,Ex,1,PConc,2,499.0,Fin,Attchd,2000.0,1659,0,Ex,1Story,351,Ex,5664,Inside,40.0,IR1,0.0,None,120,RL,StoneBr,59,8,0,Gable,278000,0,1501.0,212,2000,2000,2009
1209,0,Av,0.0,Ex,Unf,0,Gd,CemntBd,CmentBd,Gd,1,PConc,2,575.0,Fin,Attchd,2005.0,2253,1,Ex,2Story,2393,Ex,12867,Corner,103.0,IR1,0.0,None,60,RL,NridgHt,142,8,0,Gable,344133,0,1209.0,243,2005,2006,2006
1187,0,No,1.0,Gd,ALQ,0,TA,HdBoard,HdBoard,None,0,PConc,2,420.0,Fin,Attchd,1992.0,1187,0,Ex,1Story,12,TA,7980,Inside,68.0,IR1,0.0,None,20,RL,Gilbert,21,6,0,Gable,185000,0,1168.0,483,1992,2007,2010
1056,0,Mn,1.0,TA,Rec,0,TA,Wd Sdng,Wd Sdng,None,0,CBlock,1,572.0,Fin,Attchd,1955.0,1056,0,TA,1Story,2339,TA,34650,Inside,100.0,Reg,0.0,None,190,RL,Gilbert,0,5,0,Hip,145000,0,1056.0,264,1955,1955,2006
1453,0,No,1.0,TA,Rec,0,TA,MetalSd,MetalSd,TA,1,CBlock,2,530.0,RFn,Attchd,1961.0,1453,0,Ex,1Story,624,TA,10573,Corner,92.0,IR1,3.0,BrkFace,20,RL,NAmes,49,6,0,Hip,187500,288,1453.0,0,1961,1961,2009
894,0,No,1.0,TA,GLQ,0,TA,MetalSd,MetalSd,Gd,1,CBlock,1,336.0,Unf,Detchd,1973.0,894,0,Ex,1Story,86,TA,8450,Inside,65.0,Reg,0.0,None,20,RL,Sawyer,144,5,0,Gable,138500,0,894.0,416,1965,2009,2010
1265,0,No,0.0,TA,BLQ,0,TA,WdShing,Wd Shng,Gd,1,CBlock,2,240.0,Unf,Detchd,1937.0,1938,0,Ex,1.5Fin,1534,Gd,11700,Inside,68.0,IR1,0.0,None,50,RL,Crawfor,40,5,0,Gable,198000,0,942.0,0,1937,1995,2008
1034,0,No,0.0,TA,Unf,133,TA,VinylSd,VinylSd,None,0,CBlock,2,0.0,None,None,0.0,1991,0,Fa,2Story,2243,TA,8250,Inside,75.0,Reg,0.0,None,190,C (all),IDOTRR,0,5,0,Gable,119600,0,957.0,0,1895,2006,2007
672,0,Mn,0.0,TA,Unf,0,TA,MetalSd,MetalSd,Po,1,CBlock,1,576.0,Unf,Detchd,2003.0,924,0,Ex,1.5Fin,1957,TA,8064,Corner,60.0,Reg,0.0,None,50,RL,NAmes,0,5,0,Gable,122900,0,672.0,0,1949,2006,2007
2524,0,No,1.0,Gd,ALQ,0,Gd,BrkFace,BrkFace,Gd,1,PConc,2,542.0,Fin,Attchd,1981.0,2524,1,TA,1Story,380,Gd,9600,Inside,80.0,Reg,0.0,None,20,RL,NWAmes,120,8,0,Hip,278000,0,2524.0,474,1981,1981,2009
792,0,No,0.0,Gd,Unf,0,TA,BrkFace,Stucco,Gd,2,PConc,1,400.0,Unf,Detchd,1931.0,1517,0,Fa,2Story,2860,Gd,11435,Corner,68.0,IR1,0.0,None,70,RL,Crawfor,0,8,0,Gable,230000,0,792.0,0,1929,1950,2006
1494,0,Av,1.0,Gd,LwQ,0,Gd,BrkFace,BrkFace,Gd,1,PConc,1,481.0,Fin,Attchd,1995.0,1494,1,Ex,1Story,2517,Ex,9549,CulDSac,30.0,IR1,0.0,None,120,RL,Veenker,30,8,0,Hip,270000,216,1494.0,0,1995,1996,2006
948,0,No,0.0,TA,ALQ,0,TA,Wd Sdng,Wd Sdng,None,0,CBlock,1,410.0,Unf,Detchd,1952.0,948,0,TA,1Story,1933,TA,10950,Inside,60.0,Reg,0.0,None,20,RL,NAmes,48,6,0,Hip,125000,0,948.0,0,1952,1952,2007
1718,0,Gd,1.0,Ex,GLQ,0,Gd,VinylSd,VinylSd,Gd,1,PConc,2,826.0,RFn,Attchd,2007.0,1718,0,Ex,1Story,820,Gd,10637,Inside,79.0,Reg,336.0,Stone,20,RL,CollgCr,44,8,0,Hip,297000,0,1705.0,208,2007,2008,2009
1142,0,Gd,0.0,Gd,Unf,64,TA,Wd Sdng,Wd Sdng,Gd,1,CBlock,1,384.0,RFn,Basment,1958.0,1142,0,Fa,1Story,675,TA,9000,Inside,80.0,IR1,82.0,BrkFace,20,RL,NAmes,28,6,0,Flat,113500,0,160.0,0,1958,1958,2009
925,0,No,0.0,TA,ALQ,0,TA,CemntBd,CmentBd,TA,1,PConc,2,336.0,RFn,Attchd,1977.0,1475,0,Ex,2Story,2910,TA,2665,Inside,41.0,Reg,0.0,None,160,RM,MeadowV,26,5,0,Gable,127000,0,757.0,104,1977,1977,2006
1844,0,No,0.0,Gd,BLQ,0,TA,Plywood,Plywood,TA,1,CBlock,2,546.0,RFn,Attchd,1977.0,1844,0,Ex,1Story,21,TA,11751,Inside,105.0,IR1,480.0,BrkFace,20,RL,NWAmes,122,6,0,Hip,190000,0,1844.0,0,1977,1977,2010
1242,0,No,0.0,TA,ALQ,0,TA,HdBoard,HdBoard,TA,1,CBlock,1,528.0,Unf,Attchd,1973.0,1242,1,Fa,1Story,1873,TA,9600,Inside,80.0,Reg,320.0,BrkFace,20,RL,NWAmes,0,7,0,Hip,175500,0,1242.0,0,1973,1973,2007
990,0,No,1.0,Gd,GLQ,0,TA,VinylSd,VinylSd,None,0,PConc,1,384.0,Unf,Detchd,1995.0,990,0,Ex,1Story,2125,TA,8428,Inside,60.0,IR2,0.0,None,20,RL,CollgCr,0,5,0,Gable,146000,0,990.0,256,1994,1994,2007
1256,0,No,1.0,TA,BLQ,0,Gd,HdBoard,HdBoard,None,0,CBlock,1,276.0,Fin,Attchd,1965.0,1256,1,Gd,1Story,1489,TA,9937,Inside,75.0,Reg,0.0,None,20,RL,Edwards,68,5,0,Gable,147500,0,1256.0,736,1965,1965,2008
2076,0,Gd,1.0,Ex,GLQ,0,Ex,VinylSd,VinylSd,Gd,1,PConc,2,850.0,Fin,Attchd,2006.0,2076,1,Ex,1Story,2383,Ex,13891,Inside,107.0,Reg,0.0,None,20,RL,NridgHt,229,10,0,Gable,465000,0,2076.0,216,2006,2006,2006
1110,0,Av,1.0,Gd,GLQ,0,TA,Plywood,Plywood,TA,1,PConc,1,602.0,Fin,Attchd,1978.0,1110,0,Ex,SFoyer,983,Gd,9101,Corner,68.0,IR1,104.0,BrkFace,85,RL,Mitchel,30,5,0,Gable,165500,0,1097.0,303,1978,1978,2009
1050,0,No,0.0,TA,Unf,0,TA,MetalSd,MetalSd,None,0,BrkTil,2,352.0,Unf,Attchd,1954.0,1795,0,Ex,1.5Fin,1325,TA,12150,Inside,81.0,Reg,335.0,BrkFace,50,RM,OldTown,0,5,0,Gable,131500,0,1050.0,0,1954,1954,2008
1040,0,No,1.0,TA,Rec,0,TA,HdBoard,HdBoard,None,0,CBlock,1,384.0,Unf,Detchd,1965.0,1040,0,Ex,1Story,1378,TA,11200,Inside,70.0,Reg,0.0,None,20,RL,Sawyer,0,5,0,Hip,129500,0,1040.0,0,1965,1965,2008
983,0,No,0.0,TA,LwQ,207,TA,BrkFace,Stucco,Gd,2,PConc,1,786.0,Fin,Detchd,1935.0,1873,1,TA,2Story,1537,TA,9670,Inside,100.0,IR1,40.0,Stone,70,RL,Crawfor,0,8,0,Gable,257076,0,608.0,0,1935,1950,2008
984,0,No,0.0,TA,LwQ,0,TA,Wd Sdng,Wd Sdng,None,0,CBlock,2,660.0,Unf,Detchd,1977.0,1604,0,Ex,1.5Fin,905,TA,10998,Inside,60.0,Reg,0.0,None,50,RL,Edwards,68,5,0,Gable,117000,0,984.0,0,1941,1960,2009
851,0,No,0.0,Gd,Unf,112,TA,Stucco,Wd Shng,Gd,1,BrkTil,1,270.0,RFn,Attchd,1931.0,1502,1,TA,2Story,1532,TA,7200,Inside,60.0,Reg,0.0,None,70,RL,Crawfor,0,7,0,Gable,149000,0,776.0,0,1931,2000,2008
1063,0,No,1.0,TA,Rec,164,TA,HdBoard,HdBoard,None,0,CBlock,1,280.0,RFn,Attchd,1954.0,1063,0,TA,1Story,132,TA,9920,Inside,80.0,Reg,110.0,Stone,20,RL,NAmes,0,5,0,Gable,128000,0,1056.0,0,1954,1954,2010
764,0,No,0.0,Gd,Unf,0,Gd,VinylSd,Wd Shng,None,0,PConc,2,474.0,RFn,BuiltIn,2003.0,1626,1,Ex,2Story,1078,Gd,2448,Inside,36.0,Reg,106.0,Stone,160,RL,NridgHt,27,7,0,Gable,155000,0,764.0,0,2003,2004,2008
768,0,No,0.0,Gd,GLQ,0,Gd,MetalSd,MetalSd,None,0,PConc,2,440.0,Unf,Detchd,2000.0,1524,1,Ex,2Story,2511,Gd,2998,Inside,68.0,Reg,513.0,BrkFace,160,FV,Somerst,32,6,0,Gable,166000,0,756.0,0,2000,2000,2006
1328,0,No,1.0,TA,BLQ,0,TA,WdShing,Plywood,TA,2,BrkTil,2,576.0,Unf,Detchd,1981.0,1981,0,TA,1.5Fin,912,Gd,7804,Inside,65.0,Reg,0.0,None,50,RL,SWISU,44,4,0,Gable,135000,0,1122.0,431,1928,1950,2009
1392,0,No,1.0,Gd,BLQ,0,TA,Plywood,Plywood,TA,2,CBlock,3,564.0,RFn,Attchd,1978.0,2784,1,TA,2Story,2351,Gd,16692,Inside,80.0,IR1,184.0,BrkFace,60,RL,NWAmes,112,7,519,Gable,250000,440,1392.0,0,1978,1978,2006
546,0,No,0.0,TA,GLQ,0,TA,CemntBd,CmentBd,None,0,CBlock,1,0.0,None,None,0.0,1092,1,Ex,2Story,330,TA,1476,Inside,21.0,Reg,0.0,None,160,RM,MeadowV,26,4,0,Gable,76000,0,546.0,200,1970,1970,2010
1575,0,No,0.0,TA,Unf,0,TA,Wd Sdng,Wd Sdng,Gd,1,CBlock,1,400.0,Unf,Attchd,1951.0,1575,1,TA,1Story,2586,Gd,10170,Corner,75.0,Reg,522.0,BrkFace,20,RL,NAmes,0,6,0,Hip,155000,0,216.0,0,1951,1951,2006
663,0,No,0.0,TA,ALQ,0,TA,HdBoard,HdBoard,None,0,CBlock,1,299.0,Fin,Attchd,1969.0,1352,1,TA,2Story,224,TA,9364,Corner,80.0,Reg,143.0,Stone,60,RL,Sawyer,36,6,0,Gable,158000,0,663.0,379,1969,1969,2010
600,0,No,1.0,Gd,GLQ,0,Gd,MetalSd,MetalSd,None,0,PConc,2,480.0,RFn,Detchd,2004.0,1200,1,Ex,2Story,98,Gd,2544,Inside,24.0,Reg,0.0,None,160,FV,Somerst,172,7,0,Gable,149500,0,600.0,0,2004,2005,2010
936,0,No,0.0,TA,BLQ,160,TA,MetalSd,MetalSd,None,0,CBlock,1,240.0,Unf,Attchd,1954.0,936,0,TA,1Story,2565,TA,9888,Inside,82.0,Reg,0.0,None,20,RL,NAmes,0,5,0,Gable,121000,0,936.0,0,1954,1975,2006
1040,0,No,0.0,TA,Rec,0,TA,Wd Sdng,Wd Sdng,None,0,CBlock,1,293.0,Fin,Attchd,1953.0,1040,0,TA,1Story,1934,TA,7942,Inside,68.0,Reg,0.0,None,20,RL,NAmes,0,6,0,Hip,136000,0,1040.0,0,1953,1953,2007
916,0,No,0.0,Gd,Rec,0,TA,HdBoard,HdBoard,TA,1,PConc,2,386.0,Fin,Attchd,1996.0,1636,1,Gd,2Story,997,TA,15038,Corner,68.0,IR2,0.0,None,60,RL,Gilbert,84,6,0,Gable,173000,0,916.0,168,1996,1996,2008
1164,0,No,0.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,Gd,1,PConc,2,671.0,Fin,Attchd,1999.0,2270,1,Ex,2Story,64,Gd,11764,CulDSac,92.0,IR1,348.0,BrkFace,60,RL,NoRidge,57,8,0,Gable,290000,0,1152.0,132,1999,2007,2010
1184,0,Av,0.0,Gd,GLQ,0,Gd,CemntBd,CmentBd,Gd,1,PConc,2,550.0,Fin,BuiltIn,2007.0,2610,1,Ex,2Story,1799,Ex,9000,Inside,75.0,Reg,0.0,None,60,FV,Somerst,364,8,0,Gable,303477,0,1184.0,208,2007,2007,2007
1483,0,Gd,1.0,Gd,ALQ,0,Gd,Wd Sdng,Wd Sdng,TA,2,CBlock,1,690.0,RFn,Attchd,1977.0,1483,1,Gd,1Story,230,TA,20062,Inside,68.0,IR1,0.0,None,20,RL,ClearCr,0,7,0,Hip,270000,0,1420.0,496,1977,2001,2010
960,0,No,0.0,TA,Rec,236,Fa,WdShing,Wd Shng,Gd,1,BrkTil,1,225.0,Unf,Detchd,1920.0,1740,0,Gd,1.5Fin,1295,Ex,7308,Corner,81.0,Reg,0.0,None,50,RM,OldTown,0,5,0,Gable,122250,0,936.0,0,1920,1950,2008
1382,0,No,0.0,TA,Rec,0,TA,AsbShng,AsbShng,None,0,CBlock,1,350.0,Unf,Attchd,1955.0,1382,0,Gd,1Story,638,Gd,8750,Inside,70.0,Reg,0.0,None,20,RL,NAmes,0,5,0,Gable,153000,0,1382.0,280,1955,1955,2009
1120,0,No,0.0,Gd,ALQ,0,TA,VinylSd,VinylSd,None,0,PConc,1,0.0,None,None,0.0,1120,0,Ex,1Story,2278,TA,8402,Inside,70.0,Reg,0.0,None,20,RL,Mitchel,30,5,0,Gable,147000,0,1120.0,0,2007,2007,2007
567,0,No,1.0,Gd,GLQ,0,TA,Wd Sdng,Wd Sdng,Gd,1,BrkTil,1,216.0,Unf,Detchd,1930.0,1098,0,TA,2Story,2202,TA,4000,Inside,63.0,Reg,0.0,None,70,RL,Crawfor,0,7,0,Gable,148500,0,531.0,0,1930,1995,2007
976,0,No,0.0,Gd,Unf,0,Gd,VinylSd,VinylSd,None,0,PConc,2,380.0,Unf,Detchd,2004.0,1708,0,Ex,2Story,2833,Gd,3363,Inside,32.0,Reg,117.0,Stone,160,RM,Edwards,40,7,0,Gable,130000,0,976.0,0,2004,2004,2006
1802,0,Gd,0.0,Ex,Unf,0,Ex,MetalSd,MetalSd,Gd,1,PConc,2,843.0,Fin,Attchd,2006.0,1802,1,Ex,1Story,1707,Ex,13615,Corner,94.0,IR1,510.0,Stone,20,RL,NridgHt,105,9,0,Hip,372000,0,1802.0,158,2006,2006,2007
1506,0,Gd,0.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,Gd,1,PConc,2,440.0,Fin,Attchd,2005.0,1506,0,Ex,1Story,2428,Gd,3013,Inside,43.0,Reg,145.0,BrkFace,120,RL,Blmngtn,20,7,0,Gable,213490,0,1362.0,142,2005,2005,2006
1508,0,Gd,1.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,TA,2,PConc,1,572.0,RFn,Attchd,2009.0,1508,0,Ex,1Story,242,Gd,17485,Inside,44.0,IR2,96.0,Stone,20,RL,Edwards,0,7,0,Gable,308030,0,1508.0,0,2009,2010,2010
2032,0,Mn,1.0,Ex,GLQ,192,Gd,MetalSd,MetalSd,None,0,PConc,3,786.0,Fin,Attchd,1996.0,2032,0,Ex,1Story,1564,Gd,23730,Inside,68.0,IR2,668.0,BrkFace,20,RL,Mitchel,46,7,0,Gable,300000,0,1840.0,0,1996,1997,2008
1194,0,Mn,0.0,TA,ALQ,192,TA,BrkFace,BrkFace,Fa,1,CBlock,1,539.0,Fin,BuiltIn,1954.0,1194,0,Ex,1Story,2613,TA,8910,Corner,79.0,Reg,0.0,None,20,RL,NAmes,0,6,0,Hip,159500,0,655.0,0,1959,1959,2006
970,0,No,0.0,Gd,Unf,0,Gd,VinylSd,VinylSd,None,0,PConc,2,380.0,Unf,Detchd,2004.0,1709,0,Ex,2Story,2832,Gd,2522,Inside,24.0,Reg,50.0,Stone,160,RM,Edwards,40,7,0,Gable,137500,0,970.0,0,2004,2004,2006
1616,0,Av,0.0,Gd,Unf,0,Gd,VinylSd,VinylSd,None,0,PConc,2,834.0,RFn,Attchd,2005.0,1616,0,Ex,1Story,2459,Gd,8688,Inside,73.0,Reg,228.0,BrkFace,20,RL,Somerst,59,7,0,Gable,232000,0,1616.0,208,2005,2005,2006
768,0,No,0.0,TA,Unf,84,Gd,Stucco,Wd Shng,None,0,BrkTil,1,440.0,Unf,Detchd,1930.0,768,0,TA,1Story,1360,TA,6291,Inside,68.0,IR1,0.0,None,30,RM,IDOTRR,0,6,0,Gable,93850,0,768.0,0,1930,1950,2008
872,0,No,0.0,TA,Unf,116,TA,BrkFace,Wd Sdng,Gd,1,BrkTil,1,322.0,Unf,Detchd,1924.0,872,0,Fa,1Story,2723,Fa,17529,Inside,68.0,Reg,65.0,Stone,30,RL,Sawyer,0,5,0,Gable,105000,0,872.0,0,1924,1950,2006
520,0,No,0.0,TA,Unf,87,TA,MetalSd,MetalSd,None,0,BrkTil,1,240.0,Unf,Detchd,1920.0,520,0,Fa,1Story,1350,Fa,6324,Inside,60.0,IR1,0.0,None,30,RM,BrkSide,0,4,0,Gable,68500,0,520.0,49,1927,1950,2008
1105,0,No,0.0,TA,Rec,0,TA,MetalSd,MetalSd,None,0,CBlock,2,480.0,Unf,Detchd,1960.0,2274,0,TA,2Story,136,TA,11600,Corner,80.0,Reg,361.0,BrkFace,90,RL,NAmes,0,5,0,Gable,154300,0,1105.0,0,1960,1960,2010
936,176,No,0.0,TA,Unf,0,Gd,VinylSd,VinylSd,None,0,BrkTil,2,0.0,None,None,0.0,1601,0,Ex,1.5Fin,2235,TA,7288,Inside,50.0,Reg,0.0,None,50,RM,IDOTRR,0,5,0,Gable,129850,0,936.0,0,1925,2003,2007
616,0,No,0.0,TA,BLQ,143,TA,MetalSd,MetalSd,None,0,BrkTil,1,480.0,Unf,Detchd,1920.0,1232,0,Ex,2Story,1993,TA,4571,Inside,35.0,Reg,0.0,None,70,RM,OldTown,0,5,0,Gable,114000,0,616.0,280,1910,1950,2007
2234,0,No,1.0,Ex,GLQ,0,Ex,VinylSd,VinylSd,Gd,1,PConc,2,1166.0,Fin,Attchd,2009.0,2234,0,Ex,1Story,367,Ex,17423,CulDSac,63.0,IR1,748.0,Stone,20,RL,StoneBr,60,9,0,Hip,501837,0,2216.0,0,2008,2009,2009
876,0,Mn,0.0,TA,Unf,194,TA,Wd Sdng,Wd Sdng,Gd,1,BrkTil,1,720.0,Unf,Detchd,1949.0,1416,1,Gd,1.5Fin,1309,TA,12665,Inside,100.0,IR1,0.0,None,50,RM,OldTown,0,5,0,Gable,153900,0,876.0,418,1915,1950,2008
864,0,No,0.0,TA,ALQ,0,TA,VinylSd,VinylSd,None,0,CBlock,1,576.0,Unf,Detchd,1986.0,864,0,Gd,1Story,402,TA,9000,FR2,60.0,Reg,0.0,None,20,RL,NAmes,0,4,0,Gable,130000,0,864.0,200,1971,2006,2009
1189,0,No,1.0,Ex,GLQ,0,TA,VinylSd,VinylSd,None,0,PConc,2,392.0,RFn,Attchd,1997.0,1189,0,Ex,1Story,1592,TA,4500,FR2,32.0,Reg,197.0,BrkFace,120,RM,Mitchel,122,6,0,Hip,160500,0,1189.0,0,1997,1997,2008
1666,0,No,1.0,Ex,GLQ,0,Ex,MetalSd,MetalSd,Gd,1,PConc,2,575.0,RFn,Attchd,2006.0,1666,0,Ex,1Story,2409,Gd,6373,Inside,48.0,Reg,572.0,BrkFace,120,RL,NridgHt,75,9,0,Hip,310090,0,1666.0,228,2006,2006,2006
1200,0,No,1.0,Gd,GLQ,0,Gd,VinylSd,VinylSd,None,0,PConc,2,555.0,RFn,Attchd,2003.0,1200,0,Ex,1Story,539,Gd,10083,Inside,67.0,Reg,0.0,None,20,RL,SawyerW,41,7,0,Gable,184900,0,1176.0,0,2003,2003,2009
928,0,No,0.0,Gd,Rec,156,TA,Wd Sdng,Wd Sdng,None,0,CBlock,1,252.0,Unf,Attchd,1956.0,928,0,TA,1Story,1940,TA,13300,Inside,70.0,Reg,0.0,None,20,RL,NAmes,0,5,0,Hip,132000,0,928.0,261,1956,2000,2007
1336,0,Mn,0.0,Gd,ALQ,0,TA,HdBoard,HdBoard,Fa,1,CBlock,2,502.0,RFn,Attchd,1969.0,1336,0,TA,1Story,588,TA,9600,Inside,80.0,Reg,128.0,BrkFace,20,RL,NWAmes,11,5,0,Gable,163000,0,1288.0,312,1969,1969,2009
600,0,Av,0.0,Gd,GLQ,0,Gd,MetalSd,MetalSd,None,0,PConc,2,480.0,RFn,Detchd,2004.0,1200,1,Ex,2Story,96,Gd,3215,Inside,30.0,Reg,120.0,BrkFace,160,FV,Somerst,172,7,0,Gable,155000,0,600.0,0,2004,2004,2010
