,1st_flr_sf,bsmt_exposure,bsmt_full_bath,bsmt_qual,bsmtfin_type_1,exter_qual,fireplace_qu,fireplaces,foundation,full_bath,garage_area,garage_finish,garage_type,garage_yr_blt,gr_liv_area,half_bath,heating_qc,house_style,id,kitchen_qual,lot_area,lot_config,lot_frontage,lot_shape,mas_vnr_area,mas_vnr_type,ms_subclass,ms_zoning,neighborhood,overall_qual,roof_style,saleprice,total_bsmt_sf,wood_deck_sf,porch,pool,age_sold,remodelled,exterior
17,1121,No,1.0,3,3,3,0,0,PConc,1,480.0,Unf,Detchd,1963.0,1121,0,3,1Story,770,3,8816,Corner,80.0,0,0.0,None,20,RL,Sawyer,5,Gable,139000,1121.0,0,1,0,46,0,vinyl
18,1285,No,0.0,3,1,3,3,1,CBlock,1,528.0,RFn,Attchd,1977.0,1285,1,5,1Story,2063,3,8197,Inside,71.0,0,148.0,BrkFace,20,RL,Sawyer,6,Gable,143500,660.0,138,0,0,30,0,wood
19,764,Mn,0.0,4,6,3,0,0,PConc,2,614.0,Unf,Attchd,2009.0,1547,1,5,2Story,69,4,8640,Inside,72.0,0,0.0,None,60,FV,Somerst,7,Gable,215200,756.0,169,1,0,1,0,vinyl
20,894,No,0.0,4,4,3,1,1,CBlock,1,450.0,Fin,Attchd,1968.0,894,0,4,1Story,2062,3,8724,Inside,109.0,0,0.0,None,20,RL,Sawyer,5,Gable,129000,894.0,0,0,0,39,0,vinyl
21,1659,No,1.0,4,6,4,5,1,PConc,2,499.0,Fin,Attchd,2000.0,1659,0,5,1Story,351,5,5664,Inside,40.0,1,0.0,None,120,RL,StoneBr,8,Gable,278000,1501.0,212,1,0,9,0,cemt_agg
22,1209,Av,0.0,5,1,4,4,1,PConc,2,575.0,Fin,Attchd,2005.0,2253,1,5,2Story,2393,5,12867,Corner,103.0,1,0.0,None,60,RL,NridgHt,8,Gable,344133,1209.0,243,1,0,1,1,cemt_agg
23,1187,No,1.0,4,5,3,0,0,PConc,2,420.0,Fin,Attchd,1992.0,1187,0,5,1Story,12,3,7980,Inside,68.0,1,0.0,None,20,RL,Gilbert,6,Gable,185000,1168.0,483,1,0,18,1,wood
24,1056,Mn,1.0,3,3,3,0,0,CBlock,1,572.0,Fin,Attchd,1955.0,1056,0,3,1Story,2339,3,34650,Inside,100.0,0,0.0,None,190,RL,Gilbert,5,Hip,145000,1056.0,264,0,0,51,0,wood
25,1453,No,1.0,3,3,3,3,1,CBlock,2,530.0,RFn,Attchd,1961.0,1453,0,5,1Story,624,3,10573,Corner,92.0,1,3.0,BrkFace,20,RL,NAmes,6,Hip,187500,1453.0,0,1,0,48,0,metal
26,894,No,1.0,3,6,3,4,1,CBlock,1,336.0,Unf,Detchd,1973.0,894,0,5,1Story,86,3,8450,Inside,65.0,0,0.0,None,20,RL,Sawyer,5,Gable,138500,894.0,416,1,0,45,1,metal
27,1265,No,0.0,3,4,3,4,1,CBlock,2,240.0,Unf,Detchd,1937.0,1938,0,5,1.5Fin,1534,4,11700,Inside,68.0,1,0.0,None,50,RL,Crawfor,5,Gable,198000,942.0,0,1,0,71,1,wood
28,1034,No,0.0,3,1,3,0,0,CBlock,2,0.0,None,None,0.0,1991,0,2,2Story,2243,3,8250,Inside,75.0,0,0.0,None,190,C (all),IDOTRR,5,Gable,119600,957.0,0,1,0,112,1,vinyl
29,672,Mn,0.0,3,1,3,1,1,CBlock,1,576.0,Unf,Detchd,2003.0,924,0,5,1.5Fin,1957,3,8064,Corner,60.0,0,0.0,None,50,RL,NAmes,5,Gable,122900,672.0,0,0,0,58,1,metal
30,2524,No,1.0,4,5,4,4,1,PConc,2,542.0,Fin,Attchd,1981.0,2524,1,3,1Story,380,4,9600,Inside,80.0,0,0.0,None,20,RL,NWAmes,8,Hip,278000,2524.0,474,1,0,28,0,brick
31,792,No,0.0,4,1,3,4,2,PConc,1,400.0,Unf,Detchd,1931.0,1517,0,2,2Story,2860,4,11435,Corner,68.0,1,0.0,None,70,RL,Crawfor,8,Gable,230000,792.0,0,0,0,77,1,brick
32,1494,Av,1.0,4,2,4,4,1,PConc,1,481.0,Fin,Attchd,1995.0,1494,1,5,1Story,2517,5,9549,CulDSac,30.0,1,0.0,None,120,RL,Veenker,8,Hip,270000,1494.0,0,1,0,11,1,brick
33,948,No,0.0,3,5,3,0,0,CBlock,1,410.0,Unf,Detchd,1952.0,948,0,3,1Story,1933,3,10950,Inside,60.0,0,0.0,None,20,RL,NAmes,6,Hip,125000,948.0,0,1,0,55,0,wood
34,1718,Gd,1.0,5,6,4,4,1,PConc,2,826.0,RFn,Attchd,2007.0,1718,0,5,1Story,820,4,10637,Inside,79.0,0,336.0,Stone,20,RL,CollgCr,8,Hip,297000,1705.0,208,1,0,2,1,vinyl
35,1142,Gd,0.0,4,1,3,4,1,CBlock,1,384.0,RFn,Basment,1958.0,1142,0,2,1Story,675,3,9000,Inside,80.0,1,82.0,BrkFace,20,RL,NAmes,6,Flat,113500,160.0,0,1,0,51,0,wood
36,925,No,0.0,3,5,3,3,1,PConc,2,336.0,RFn,Attchd,1977.0,1475,0,5,2Story,2910,3,2665,Inside,41.0,0,0.0,None,160,RM,MeadowV,5,Gable,127000,757.0,104,1,0,29,0,cemt_agg
37,1844,No,0.0,4,4,3,3,1,CBlock,2,546.0,RFn,Attchd,1977.0,1844,0,5,1Story,21,3,11751,Inside,105.0,1,480.0,BrkFace,20,RL,NWAmes,6,Hip,190000,1844.0,0,1,0,33,0,wood
38,1242,No,0.0,3,5,3,3,1,CBlock,1,528.0,Unf,Attchd,1973.0,1242,1,2,1Story,1873,3,9600,Inside,80.0,0,320.0,BrkFace,20,RL,NWAmes,7,Hip,175500,1242.0,0,0,0,34,0,wood
39,990,No,1.0,4,6,3,0,0,PConc,1,384.0,Unf,Detchd,1995.0,990,0,5,1Story,2125,3,8428,Inside,60.0,2,0.0,None,20,RL,CollgCr,5,Gable,146000,990.0,256,0,0,13,0,vinyl
40,1256,No,1.0,3,4,4,0,0,CBlock,1,276.0,Fin,Attchd,1965.0,1256,1,4,1Story,1489,3,9937,Inside,75.0,0,0.0,None,20,RL,Edwards,5,Gable,147500,1256.0,736,1,0,43,0,wood
41,2076,Gd,1.0,5,6,5,4,1,PConc,2,850.0,Fin,Attchd,2006.0,2076,1,5,1Story,2383,5,13891,Inside,107.0,0,0.0,None,20,RL,NridgHt,10,Gable,465000,2076.0,216,1,0,0,0,vinyl
42,1110,Av,1.0,4,6,3,3,1,PConc,1,602.0,Fin,Attchd,1978.0,1110,0,5,SFoyer,983,4,9101,Corner,68.0,1,104.0,BrkFace,85,RL,Mitchel,5,Gable,165500,1097.0,303,1,0,31,0,wood
43,1050,No,0.0,3,1,3,0,0,BrkTil,2,352.0,Unf,Attchd,1954.0,1795,0,5,1.5Fin,1325,3,12150,Inside,81.0,0,335.0,BrkFace,50,RM,OldTown,5,Gable,131500,1050.0,0,0,0,54,0,metal
44,1040,No,1.0,3,3,3,0,0,CBlock,1,384.0,Unf,Detchd,1965.0,1040,0,5,1Story,1378,3,11200,Inside,70.0,0,0.0,None,20,RL,Sawyer,5,Hip,129500,1040.0,0,0,0,43,0,wood
45,983,No,0.0,3,2,3,4,2,PConc,1,786.0,Fin,Detchd,1935.0,1873,1,3,2Story,1537,3,9670,Inside,100.0,1,40.0,Stone,70,RL,Crawfor,8,Gable,257076,608.0,0,1,0,73,1,brick
46,984,No,0.0,3,2,3,0,0,CBlock,2,660.0,Unf,Detchd,1977.0,1604,0,5,1.5Fin,905,3,10998,Inside,60.0,0,0.0,None,50,RL,Edwards,5,Gable,117000,984.0,0,1,0,68,1,wood
47,851,No,0.0,4,1,3,4,1,BrkTil,1,270.0,RFn,Attchd,1931.0,1502,1,3,2Story,1532,3,7200,Inside,60.0,0,0.0,None,70,RL,Crawfor,7,Gable,149000,776.0,0,1,0,77,1,cemt_agg
48,1063,No,1.0,3,3,3,0,0,CBlock,1,280.0,RFn,Attchd,1954.0,1063,0,3,1Story,132,3,9920,Inside,80.0,0,110.0,Stone,20,RL,NAmes,5,Gable,128000,1056.0,0,1,0,56,0,wood
49,764,No,0.0,4,1,4,0,0,PConc,2,474.0,RFn,BuiltIn,2003.0,1626,1,5,2Story,1078,4,2448,Inside,36.0,0,106.0,Stone,160,RL,NridgHt,7,Gable,155000,764.0,0,1,0,5,1,vinyl
50,768,No,0.0,4,6,4,0,0,PConc,2,440.0,Unf,Detchd,2000.0,1524,1,5,2Story,2511,4,2998,Inside,68.0,0,513.0,BrkFace,160,FV,Somerst,6,Gable,166000,756.0,0,1,0,6,0,metal
51,1328,No,1.0,3,4,3,3,2,BrkTil,2,576.0,Unf,Detchd,1981.0,1981,0,3,1.5Fin,912,4,7804,Inside,65.0,0,0.0,None,50,RL,SWISU,4,Gable,135000,1122.0,431,1,0,81,1,wood
52,1392,No,1.0,4,4,3,3,2,CBlock,3,564.0,RFn,Attchd,1978.0,2784,1,3,2Story,2351,4,16692,Inside,80.0,1,184.0,BrkFace,60,RL,NWAmes,7,Gable,250000,1392.0,0,1,1,28,0,wood
53,546,No,0.0,3,6,3,0,0,CBlock,1,0.0,None,None,0.0,1092,1,5,2Story,330,3,1476,Inside,21.0,0,0.0,None,160,RM,MeadowV,4,Gable,76000,546.0,200,1,0,40,0,cemt_agg
54,1575,No,0.0,3,1,3,4,1,CBlock,1,400.0,Unf,Attchd,1951.0,1575,1,3,1Story,2586,4,10170,Corner,75.0,0,522.0,BrkFace,20,RL,NAmes,6,Hip,155000,216.0,0,0,0,55,0,wood
55,663,No,0.0,3,5,3,0,0,CBlock,1,299.0,Fin,Attchd,1969.0,1352,1,3,2Story,224,3,9364,Corner,80.0,0,143.0,Stone,60,RL,Sawyer,6,Gable,158000,663.0,379,1,0,41,0,wood
56,600,No,1.0,4,6,4,0,0,PConc,2,480.0,RFn,Detchd,2004.0,1200,1,5,2Story,98,4,2544,Inside,24.0,0,0.0,None,160,FV,Somerst,7,Gable,149500,600.0,0,1,0,6,1,metal
57,936,No,0.0,3,4,3,0,0,CBlock,1,240.0,Unf,Attchd,1954.0,936,0,3,1Story,2565,3,9888,Inside,82.0,0,0.0,None,20,RL,NAmes,5,Gable,121000,936.0,0,1,0,52,1,metal
58,1040,No,0.0,3,3,3,0,0,CBlock,1,293.0,Fin,Attchd,1953.0,1040,0,3,1Story,1934,3,7942,Inside,68.0,0,0.0,None,20,RL,NAmes,6,Hip,136000,1040.0,0,0,0,54,0,wood
59,916,No,0.0,4,3,3,3,1,PConc,2,386.0,Fin,Attchd,1996.0,1636,1,4,2Story,997,3,15038,Corner,68.0,2,0.0,None,60,RL,Gilbert,6,Gable,173000,916.0,168,1,0,12,0,wood
60,1164,No,0.0,4,6,4,4,1,PConc,2,671.0,Fin,Attchd,1999.0,2270,1,5,2Story,64,4,11764,CulDSac,92.0,1,348.0,BrkFace,60,RL,NoRidge,8,Gable,290000,1152.0,132,1,0,11,1,vinyl
61,1184,Av,0.0,4,6,4,4,1,PConc,2,550.0,Fin,BuiltIn,2007.0,2610,1,5,2Story,1799,5,9000,Inside,75.0,0,0.0,None,60,FV,Somerst,8,Gable,303477,1184.0,208,1,0,0,0,cemt_agg
62,1483,Gd,1.0,4,5,4,3,2,CBlock,1,690.0,RFn,Attchd,1977.0,1483,1,4,1Story,230,3,20062,Inside,68.0,1,0.0,None,20,RL,ClearCr,7,Hip,270000,1420.0,496,0,0,33,1,wood
63,960,No,0.0,3,3,2,4,1,BrkTil,1,225.0,Unf,Detchd,1920.0,1740,0,4,1.5Fin,1295,5,7308,Corner,81.0,0,0.0,None,50,RM,OldTown,5,Gable,122250,936.0,0,1,0,88,1,wood
64,1382,No,0.0,3,3,3,0,0,CBlock,1,350.0,Unf,Attchd,1955.0,1382,0,4,1Story,638,4,8750,Inside,70.0,0,0.0,None,20,RL,NAmes,5,Gable,153000,1382.0,280,0,0,54,0,cemt_agg
65,1120,No,0.0,4,5,3,0,0,PConc,1,0.0,None,None,0.0,1120,0,5,1Story,2278,3,8402,Inside,70.0,0,0.0,None,20,RL,Mitchel,5,Gable,147000,1120.0,0,1,0,0,0,vinyl
66,567,No,1.0,4,6,3,4,1,BrkTil,1,216.0,Unf,Detchd,1930.0,1098,0,3,2Story,2202,3,4000,Inside,63.0,0,0.0,None,70,RL,Crawfor,7,Gable,148500,531.0,0,0,0,77,1,wood
67,976,No,0.0,4,1,4,0,0,PConc,2,380.0,Unf,Detchd,2004.0,1708,0,5,2Story,2833,4,3363,Inside,32.0,0,117.0,Stone,160,RM,Edwards,7,Gable,130000,976.0,0,1,0,2,0,vinyl
68,1802,Gd,0.0,5,1,5,4,1,PConc,2,843.0,Fin,Attchd,2006.0,1802,1,5,1Story,1707,5,13615,Corner,94.0,1,510.0,Stone,20,RL,NridgHt,9,Hip,372000,1802.0,158,1,0,1,0,metal
69,1506,Gd,0.0,4,6,4,4,1,PConc,2,440.0,Fin,Attchd,2005.0,1506,0,5,1Story,2428,4,3013,Inside,43.0,0,145.0,BrkFace,120,RL,Blmngtn,7,Gable,213490,1362.0,142,1,0,1,0,vinyl
70,1508,Gd,1.0,4,6,4,3,2,PConc,1,572.0,RFn,Attchd,2009.0,1508,0,5,1Story,242,4,17485,Inside,44.0,2,96.0,Stone,20,RL,Edwards,7,Gable,308030,1508.0,0,0,0,1,1,vinyl
71,2032,Mn,1.0,5,6,4,0,0,PConc,3,786.0,Fin,Attchd,1996.0,2032,0,5,1Story,1564,4,23730,Inside,68.0,2,668.0,BrkFace,20,RL,Mitchel,7,Gable,300000,1840.0,0,1,0,12,1,metal
72,1194,Mn,0.0,3,5,3,2,1,CBlock,1,539.0,Fin,BuiltIn,1954.0,1194,0,5,1Story,2613,3,8910,Corner,79.0,0,0.0,None,20,RL,NAmes,6,Hip,159500,655.0,0,1,0,47,0,brick
73,970,No,0.0,4,1,4,0,0,PConc,2,380.0,Unf,Detchd,2004.0,1709,0,5,2Story,2832,4,2522,Inside,24.0,0,50.0,Stone,160,RM,Edwards,7,Gable,137500,970.0,0,1,0,2,0,vinyl
74,1616,Av,0.0,4,1,4,0,0,PConc,2,834.0,RFn,Attchd,2005.0,1616,0,5,1Story,2459,4,8688,Inside,73.0,0,228.0,BrkFace,20,RL,Somerst,7,Gable,232000,1616.0,208,1,0,1,0,vinyl
75,768,No,0.0,3,1,4,0,0,BrkTil,1,440.0,Unf,Detchd,1930.0,768,0,3,1Story,1360,3,6291,Inside,68.0,1,0.0,None,30,RM,IDOTRR,6,Gable,93850,768.0,0,1,0,78,1,cemt_agg
76,872,No,0.0,3,1,3,4,1,BrkTil,1,322.0,Unf,Detchd,1924.0,872,0,2,1Story,2723,2,17529,Inside,68.0,0,65.0,Stone,30,RL,Sawyer,5,Gable,105000,872.0,0,1,0,82,1,brick
77,520,No,0.0,3,1,3,0,0,BrkTil,1,240.0,Unf,Detchd,1920.0,520,0,2,1Story,1350,2,6324,Inside,60.0,1,0.0,None,30,RM,BrkSide,4,Gable,68500,520.0,49,1,0,81,1,metal
78,1105,No,0.0,3,3,3,0,0,CBlock,2,480.0,Unf,Detchd,1960.0,2274,0,3,2Story,136,3,11600,Corner,80.0,0,361.0,BrkFace,90,RL,NAmes,5,Gable,154300,1105.0,0,0,0,50,0,metal
79,936,No,0.0,3,1,4,0,0,BrkTil,2,0.0,None,None,0.0,1601,0,5,1.5Fin,2235,3,7288,Inside,50.0,0,0.0,None,50,RM,IDOTRR,5,Gable,129850,936.0,0,1,0,82,1,vinyl
80,616,No,0.0,3,4,3,0,0,BrkTil,1,480.0,Unf,Detchd,1920.0,1232,0,5,2Story,1993,3,4571,Inside,35.0,0,0.0,None,70,RM,OldTown,5,Gable,114000,616.0,280,1,0,97,1,metal
81,2234,No,1.0,5,6,5,4,1,PConc,2,1166.0,Fin,Attchd,2009.0,2234,0,5,1Story,367,5,17423,CulDSac,63.0,1,748.0,Stone,20,RL,StoneBr,9,Hip,501837,2216.0,0,1,0,1,1,vinyl
82,876,Mn,0.0,3,1,3,4,1,BrkTil,1,720.0,Unf,Detchd,1949.0,1416,1,4,1.5Fin,1309,3,12665,Inside,100.0,1,0.0,None,50,RM,OldTown,5,Gable,153900,876.0,418,1,0,93,1,wood
83,864,No,0.0,3,5,3,0,0,CBlock,1,576.0,Unf,Detchd,1986.0,864,0,4,1Story,402,3,9000,FR2,60.0,0,0.0,None,20,RL,NAmes,4,Gable,130000,864.0,200,0,0,38,1,vinyl
84,1189,No,1.0,5,6,3,0,0,PConc,2,392.0,RFn,Attchd,1997.0,1189,0,5,1Story,1592,3,4500,FR2,32.0,0,197.0,BrkFace,120,RM,Mitchel,6,Hip,160500,1189.0,0,1,0,11,0,vinyl
85,1666,No,1.0,5,6,5,4,1,PConc,2,575.0,RFn,Attchd,2006.0,1666,0,5,1Story,2409,4,6373,Inside,48.0,0,572.0,BrkFace,120,RL,NridgHt,9,Hip,310090,1666.0,228,1,0,0,0,metal
86,1200,No,1.0,4,6,4,0,0,PConc,2,555.0,RFn,Attchd,2003.0,1200,0,5,1Story,539,4,10083,Inside,67.0,0,0.0,None,20,RL,SawyerW,7,Gable,184900,1176.0,0,1,0,6,0,vinyl
87,928,No,0.0,4,3,3,0,0,CBlock,1,252.0,Unf,Attchd,1956.0,928,0,3,1Story,1940,3,13300,Inside,70.0,0,0.0,None,20,RL,NAmes,5,Hip,132000,928.0,261,1,0,51,1,wood
88,1336,Mn,0.0,4,5,3,2,1,CBlock,2,502.0,RFn,Attchd,1969.0,1336,0,3,1Story,588,3,9600,Inside,80.0,0,128.0,BrkFace,20,RL,NWAmes,5,Gable,163000,1288.0,312,1,0,40,0,wood
89,600,Av,0.0,4,6,4,0,0,PConc,2,480.0,RFn,Detchd,2004.0,1200,1,5,2Story,96,4,3215,Inside,30.0,0,120.0,BrkFace,160,FV,Somerst,7,Gable,155000,600.0,0,1,0,6,0,metal
90,1427,Av,0.0,3,6,3,0,0,CBlock,2,516.0,RFn,Attchd,1969.0,1427,0,4,SLvl,1187,3,11104,Inside,68.0,1,0.0,None,80,RL,NWAmes,6,Gable,183000,1427.0,0,1,0,39,0,metal
91,1212,Mn,1.0,4,6,4,3,2,PConc,2,608.0,RFn,Attchd,1996.0,1992,1,5,2Story,2154,4,15295,Corner,68.0,3,254.0,BrkFace,60,RL,CollgCr,7,Gable,211000,860.0,225,1,0,11,1,vinyl
92,754,No,1.0,4,2,4,0,0,PConc,2,495.0,RFn,Attchd,1994.0,1540,1,5,2Story,550,4,9109,Inside,70.0,0,0.0,None,60,RL,SawyerW,7,Gable,184000,754.0,140,1,0,15,0,vinyl
93,1535,None,0.0,0,0,3,0,0,Slab,2,400.0,Unf,Attchd,1979.0,1535,0,3,1Story,811,3,7018,Inside,64.0,0,0.0,None,90,RL,SawyerW,5,Gable,118858,0.0,0,0,0,30,0,wood
94,1152,Av,1.0,3,6,3,4,1,PConc,1,484.0,RFn,Attchd,1964.0,1152,0,3,SLvl,124,3,14112,Corner,68.0,1,86.0,BrkFace,80,RL,NAmes,5,Hip,180500,1152.0,227,0,0,46,0,wood
95,1151,No,1.0,4,6,4,0,0,PConc,2,484.0,Fin,Attchd,2006.0,1151,0,5,1Story,1836,4,3523,Inside,80.0,1,30.0,Stone,120,FV,Somerst,8,Gable,166000,1141.0,0,1,0,1,1,vinyl
96,1138,Av,0.0,3,4,3,3,1,CBlock,1,480.0,RFn,Attchd,1960.0,1138,0,5,SLvl,779,3,15312,Inside,88.0,0,54.0,BrkFace,80,RL,Sawyer,6,Hip,148000,1138.0,0,1,0,49,0,wood
97,1074,No,0.0,3,3,3,4,1,CBlock,1,396.0,Unf,Detchd,1966.0,1074,0,4,1Story,1886,4,7450,Inside,74.0,1,0.0,None,20,RL,NAmes,5,Hip,124000,894.0,0,1,0,51,0,wood
98,1561,No,1.0,5,6,5,4,1,PConc,2,556.0,Fin,Attchd,2005.0,1561,0,5,1Story,1724,5,7313,Inside,60.0,0,246.0,BrkFace,120,RL,NridgHt,9,Hip,277500,1561.0,203,1,0,2,0,metal
99,1358,No,0.0,4,5,4,5,1,PConc,2,725.0,RFn,Attchd,1995.0,2726,1,5,2Story,2450,4,10019,Inside,83.0,1,397.0,BrkFace,60,RL,NoRidge,8,Hip,350000,1342.0,307,1,0,11,0,vinyl
100,1884,Gd,1.0,5,6,5,4,1,PConc,2,670.0,Fin,Attchd,2004.0,1884,0,5,1Story,1013,5,15401,CulDSac,53.0,1,296.0,BrkFace,20,RL,StoneBr,9,Hip,387000,1884.0,214,1,0,4,0,vinyl
101,605,Mn,1.0,3,5,3,0,0,BrkTil,1,0.0,None,None,0.0,605,0,5,1Story,2084,3,9098,Inside,58.0,1,0.0,None,30,RL,Edwards,4,Gable,86000,528.0,0,1,0,87,1,wood
102,1671,Mn,1.0,4,6,5,4,1,CBlock,3,550.0,RFn,Attchd,1976.0,1671,0,5,1Story,1184,5,16280,Inside,103.0,0,0.0,None,20,RL,Veenker,8,Gable,290000,1426.0,280,1,0,32,1,vinyl
103,797,No,0.0,2,1,3,0,0,CBlock,1,0.0,None,None,0.0,797,0,3,1Story,728,3,9392,Corner,72.0,0,0.0,None,30,C (all),IDOTRR,3,Mansard,44000,245.0,0,1,0,109,1,cemt_agg
104,804,No,1.0,5,5,3,3,1,PConc,2,560.0,Fin,BuiltIn,2001.0,1961,1,5,2Story,950,4,12209,CulDSac,71.0,1,0.0,None,60,RL,Mitchel,6,Gable,215000,804.0,125,1,0,8,1,vinyl
105,1193,No,1.0,4,6,3,0,0,CBlock,2,501.0,Fin,Attchd,1972.0,1193,0,5,1Story,2524,3,13110,Corner,79.0,1,144.0,BrkFace,190,RL,NWAmes,5,Gable,146500,1153.0,140,1,0,34,0,wood
106,673,No,1.0,4,6,4,0,0,PConc,2,490.0,Unf,Detchd,2000.0,1382,1,5,2Story,2513,4,2651,FR2,68.0,0,0.0,None,160,FV,Somerst,7,Gable,165000,673.0,153,1,0,6,0,metal
107,1664,No,0.0,3,3,3,4,1,BrkTil,2,216.0,Unf,Detchd,1916.0,2526,0,3,1.5Fin,2028,4,8520,Inside,60.0,0,0.0,None,50,RM,OldTown,6,Gable,136000,714.0,88,1,0,91,1,cemt_agg
108,1390,Gd,1.0,4,5,3,4,2,CBlock,1,550.0,Unf,Attchd,1957.0,1390,1,5,1Story,2309,5,39384,CulDSac,68.0,1,902.0,Stone,20,RL,NAmes,6,Gable,252000,1705.0,0,1,0,49,0,wood
109,764,No,0.0,4,1,4,0,0,PConc,2,474.0,RFn,BuiltIn,2003.0,1626,1,5,2Story,51,4,2628,Inside,36.0,0,106.0,Stone,160,RL,NridgHt,7,Gable,175500,764.0,0,1,0,7,0,vinyl
110,868,No,0.0,3,5,3,4,1,BrkTil,1,400.0,Unf,Detchd,1939.0,1558,1,3,2Story,699,3,6406,Inside,57.0,0,0.0,None,70,RM,OldTown,5,Gable,150000,690.0,0,1,0,70,1,wood
111,1422,No,0.0,3,1,3,3,1,CBlock,1,286.0,RFn,Attchd,1960.0,1422,0,3,1Story,1881,3,12342,Inside,68.0,1,0.0,None,20,RL,NAmes,5,Hip,139900,978.0,0,1,0,47,1,wood
